"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 10:26:50 GMT 2024","Wed Jun 12 10:26:57 GMT 2024","7367","Surefire suite","Surefire test","com.qacart.todo.testcases.ToDoTest","com.qacart.todo.testcases.ToDoTest","shouldBeAbleToAddAnotherToDo","Should be able to Add another ToDo",""
"passed","Wed Jun 12 10:26:50 GMT 2024","Wed Jun 12 10:26:53 GMT 2024","3751","Surefire suite","Surefire test","com.qacart.todo.testcases.ToDoTest","com.qacart.todo.testcases.ToDoTest","shouldBeAbleToAddAToDo","Should be able to Add a ToDo",""
"passed","Wed Jun 12 10:26:50 GMT 2024","Wed Jun 12 10:26:56 GMT 2024","6632","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterToTheApplicationAPI","Should be able to Register (API)",""
"passed","Wed Jun 12 10:26:50 GMT 2024","Wed Jun 12 10:26:58 GMT 2024","8127","Surefire suite","Surefire test","com.qacart.todo.testcases.ToDoTest","com.qacart.todo.testcases.ToDoTest","shouldBeAbleToDeleteAToDo","Should be able to Delete a ToDo",""
"passed","Wed Jun 12 10:26:50 GMT 2024","Wed Jun 12 10:26:53 GMT 2024","3536","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterToTheApplicationUI","Should be able to Register (UI)",""
