"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 13:25:49 GMT 2024","Wed Jun 12 13:25:55 GMT 2024","6549","Surefire suite","Surefire test","com.qacart.todo.testcases.ToDoTest","com.qacart.todo.testcases.ToDoTest","shouldBeAbleToAddAToDo","Should be able to Add a ToDo",""
"passed","Wed Jun 12 13:25:49 GMT 2024","Wed Jun 12 13:25:55 GMT 2024","6022","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterToTheApplicationUI","Should be able to Register (UI)",""
"passed","Wed Jun 12 13:25:49 GMT 2024","Wed Jun 12 13:25:59 GMT 2024","9986","Surefire suite","Surefire test","com.qacart.todo.testcases.ToDoTest","com.qacart.todo.testcases.ToDoTest","shouldBeAbleToDeleteAToDo","Should be able to Delete a ToDo",""
"passed","Wed Jun 12 13:25:49 GMT 2024","Wed Jun 12 13:25:57 GMT 2024","8518","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterToTheApplicationAPI","Should be able to Register (API)",""
"passed","Wed Jun 12 13:25:49 GMT 2024","Wed Jun 12 13:25:58 GMT 2024","9233","Surefire suite","Surefire test","com.qacart.todo.testcases.ToDoTest","com.qacart.todo.testcases.ToDoTest","shouldBeAbleToAddAnotherToDo","Should be able to Add another ToDo",""
